PM2.5,PM10,CO,NO2,SO2,O3,Time,hour
33.0,71.0,0.756,9.0,25.0,80.0,2018-11-14 10:00:00,2018-11-14 10:00:00
32.0,69.0,0.736,9.0,22.0,86.0,2018-11-14 11:00:00,2018-11-14 11:00:00
33.0,64.0,0.804,9.0,26.0,88.0,2018-11-14 12:00:00,2018-11-14 12:00:00
35.0,63.0,0.75,8.0,26.0,88.0,2018-11-14 13:00:00,2018-11-14 13:00:00
30.0,69.0,0.855,8.0,34.0,88.0,2018-11-14 14:00:00,2018-11-14 14:00:00
33.0,76.0,0.763,8.0,37.0,89.0,2018-11-14 15:00:00,2018-11-14 15:00:00
37.0,79.0,0.768,8.0,47.0,77.0,2018-11-14 16:00:00,2018-11-14 16:00:00
44.0,82.0,0.863,8.0,72.0,40.0,2018-11-14 17:00:00,2018-11-14 17:00:00
48.0,102.0,0.876,8.0,56.0,50.0,2018-11-14 18:00:00,2018-11-14 18:00:00
40.0,92.0,0.994,7.0,81.0,22.0,2018-11-14 19:00:00,2018-11-14 19:00:00
56.0,112.0,0.944,8.0,76.0,18.0,2018-11-14 20:00:00,2018-11-14 20:00:00
51.0,89.0,0.862,8.0,38.0,56.0,2018-11-14 21:00:00,2018-11-14 21:00:00
50.0,85.0,0.934,9.0,36.0,58.0,2018-11-14 22:00:00,2018-11-14 22:00:00
55.0,85.0,0.919,9.0,36.0,57.0,2018-11-14 23:00:00,2018-11-14 23:00:00
50.0,81.0,0.873,9.0,32.0,59.0,2018-11-15 00:00:00,2018-11-15 00:00:00
46.0,71.0,0.839,9.0,26.0,65.0,2018-11-15 01:00:00,2018-11-15 01:00:00
43.0,59.0,0.781,10.0,25.0,68.0,2018-11-15 02:00:00,2018-11-15 02:00:00
32.0,51.0,0.739,9.0,24.0,69.0,2018-11-15 03:00:00,2018-11-15 03:00:00
30.0,47.0,0.743,9.0,23.0,64.0,2018-11-15 04:00:00,2018-11-15 04:00:00
36.0,50.0,0.881,8.0,37.0,39.0,2018-11-15 05:00:00,2018-11-15 05:00:00
39.0,54.0,0.792,7.0,34.0,38.0,2018-11-15 06:00:00,2018-11-15 06:00:00
44.0,45.0,0.706,6.0,32.0,41.0,2018-11-15 07:00:00,2018-11-15 07:00:00
35.0,29.0,0.68,6.0,33.0,42.0,2018-11-15 08:00:00,2018-11-15 08:00:00
27.0,31.0,0.733,7.0,37.0,41.0,2018-11-15 09:00:00,2018-11-15 09:00:00
23.0,42.0,0.616,7.0,36.0,28.0,2018-11-15 13:00:00,2018-11-15 13:00:00
21.0,29.0,0.598,7.0,42.0,25.0,2018-11-15 14:00:00,2018-11-15 14:00:00
22.0,35.0,0.679,8.0,51.0,19.0,2018-11-15 15:00:00,2018-11-15 15:00:00
22.0,36.0,0.694,9.0,50.0,20.0,2018-11-15 16:00:00,2018-11-15 16:00:00
20.0,36.0,0.648,8.0,56.0,18.0,2018-11-15 17:00:00,2018-11-15 17:00:00
20.0,41.0,0.601,8.0,38.0,30.0,2018-11-15 18:00:00,2018-11-15 18:00:00
18.0,28.0,0.524,8.0,35.0,34.0,2018-11-15 19:00:00,2018-11-15 19:00:00
23.0,29.0,0.589,11.0,44.0,24.0,2018-11-15 20:00:00,2018-11-15 20:00:00
