hour,pm25_station,pm25_company,n_points,min_delta,std_pm25,iqr_pm25,matched
2018-11-14 10:00:00,33.0,50.0,1.0,2.0,,0.0,True
2018-11-14 11:00:00,32.0,41.0,3.0,2.0,1.154700538379251,1.0,True
2018-11-14 12:00:00,33.0,46.0,3.0,0.0,1.7320508075688772,1.5,True
2018-11-14 13:00:00,35.0,42.5,4.0,1.0,0.5773502691896257,1.0,True
2018-11-14 14:00:00,30.0,47.0,3.0,2.0,1.5275252316519456,1.5,True
2018-11-14 15:00:00,33.0,52.0,3.0,1.0,1.5275252316519456,1.5,True
2018-11-14 16:00:00,37.0,48.0,6.0,0.0,3.1885210782848312,3.0,True
2018-11-14 17:00:00,44.0,44.0,5.0,1.0,1.3038404810405306,1.0,True
2018-11-14 18:00:00,48.0,48.0,5.0,1.0,2.2803508501982757,1.0,True
2018-11-14 19:00:00,40.0,56.0,6.0,0.0,3.6696957185394363,5.25,True
2018-11-14 20:00:00,56.0,61.0,5.0,1.0,2.7748873851023217,5.0,True
2018-11-14 21:00:00,51.0,65.5,2.0,2.0,3.5355339059327378,2.5,True
2018-11-14 22:00:00,50.0,68.0,3.0,1.0,0.0,0.0,True
2018-11-14 23:00:00,55.0,73.0,5.0,0.0,1.8708286933869707,3.0,True
2018-11-15 00:00:00,50.0,73.0,5.0,1.0,2.1213203435596437,3.0,True
2018-11-15 01:00:00,46.0,61.0,4.0,1.0,3.3040379335998353,3.25,True
2018-11-15 02:00:00,43.0,48.5,4.0,1.0,1.4142135623730947,1.5,True
2018-11-15 03:00:00,32.0,42.0,5.0,1.0,1.3038404810405289,2.0,True
2018-11-15 04:00:00,30.0,44.0,5.0,0.0,0.8944271909999157,1.0,True
2018-11-15 05:00:00,36.0,55.0,4.0,1.0,4.9916597106239795,5.75,True
2018-11-15 06:00:00,39.0,71.0,5.0,0.0,3.082207001484488,3.0,True
2018-11-15 07:00:00,44.0,62.0,4.0,0.0,2.309401076758502,4.0,True
2018-11-15 08:00:00,35.0,55.0,3.0,1.0,2.0816659994661326,2.0,True
2018-11-15 09:00:00,27.0,44.0,5.0,1.0,0.8944271909999163,0.0,True
2018-11-15 13:00:00,23.0,35.0,3.0,1.0,1.1547005383792526,1.0,True
2018-11-15 14:00:00,21.0,38.0,5.0,1.0,1.1401754250991378,1.0,True
2018-11-15 15:00:00,22.0,37.0,3.0,0.0,1.0,1.0,True
2018-11-15 16:00:00,22.0,38.0,5.0,1.0,1.3038404810405302,2.0,True
2018-11-15 17:00:00,20.0,36.0,5.0,0.0,1.0954451150103324,2.0,True
2018-11-15 18:00:00,20.0,35.5,6.0,0.0,1.7511900715418256,1.75,True
2018-11-15 19:00:00,18.0,24.0,5.0,0.0,2.073644135332773,2.0,True
2018-11-15 20:00:00,23.0,39.5,6.0,0.0,1.6020819787597225,1.75,True
2018-11-15 21:00:00,27.0,42.5,6.0,0.0,2.4013884872437177,3.25,True
2018-11-15 22:00:00,20.0,37.5,6.0,0.0,2.2803508501982757,2.5,True
2018-11-15 23:00:00,17.0,36.5,6.0,1.0,1.7511900715418263,2.5,True
2018-11-16 00:00:00,12.0,35.0,5.0,1.0,1.30384048104053,2.0,True
2018-11-16 01:00:00,13.0,36.0,5.0,1.0,2.1679483388678795,3.0,True
2018-11-16 02:00:00,16.0,32.0,6.0,1.0,1.0954451150103317,0.75,True
2018-11-16 03:00:00,16.0,36.0,5.0,2.0,1.0954451150103317,0.0,True
2018-11-16 04:00:00,18.0,42.0,5.0,1.0,1.4832396974191318,1.0,True
2018-11-16 05:00:00,23.0,42.0,5.0,0.0,1.1401754250991383,1.0,True
2018-11-16 06:00:00,24.0,42.5,4.0,0.0,1.7320508075688772,3.0,True
2018-11-16 07:00:00,20.0,44.0,6.0,0.0,0.8366600265340751,0.75,True
2018-11-16 08:00:00,26.0,39.0,5.0,0.0,0.5477225575051652,1.0,True
2018-11-16 09:00:00,16.0,32.0,5.0,0.0,0.8944271909999163,0.0,True
2018-11-16 10:00:00,14.0,29.5,6.0,1.0,1.211060141638997,1.75,True
2018-11-16 11:00:00,15.0,34.5,3.0,0.0,1.6072751268321586,1.5,True
2018-11-16 12:00:00,21.0,39.0,5.0,0.0,1.2247448713915883,1.0,True
2018-11-16 13:00:00,22.0,43.0,5.0,1.0,0.8366600265340757,1.0,True
2018-11-16 14:00:00,23.0,40.0,5.0,1.0,2.387467277262664,3.0,True
2018-11-16 15:00:00,16.0,41.0,5.0,1.0,1.51657508881031,3.0,True
2018-11-16 16:00:00,19.0,41.0,3.0,2.0,1.0,1.0,True
2018-11-16 17:00:00,23.0,48.0,5.0,0.0,1.1401754250991383,1.0,True
2018-11-16 18:00:00,26.0,60.5,6.0,0.0,1.9663841605003494,1.75,True
2018-11-16 19:00:00,28.0,52.0,6.0,0.0,3.224903099319419,2.25,True
2018-11-16 20:00:00,30.0,47.5,4.0,0.0,1.8929694486000916,1.75,True
2018-11-16 21:00:00,29.0,44.0,4.0,0.0,0.5,0.25,True
2018-11-16 22:00:00,31.0,43.0,6.0,0.0,1.378404875209022,0.75,True
2018-11-16 23:00:00,42.0,43.0,6.0,0.0,1.6431676725154984,2.25,True
2018-11-17 00:00:00,26.0,45.5,6.0,0.0,0.9831920802501751,1.75,True
2018-11-17 01:00:00,26.0,34.5,6.0,0.0,2.8577380332470406,5.25,True
2018-11-17 02:00:00,18.0,19.5,4.0,1.0,0.9574271077563385,1.25,True
2018-11-17 03:00:00,11.0,16.0,3.0,3.0,0.5773502691896255,0.5,True
2018-11-17 04:00:00,8.0,19.0,4.0,1.0,1.154700538379251,2.0,True
2018-11-17 05:00:00,19.0,30.0,1.0,1.0,,0.0,True
2018-11-17 06:00:00,15.0,28.0,5.0,2.0,2.1213203435596424,3.0,True
2018-11-17 07:00:00,8.0,28.0,3.0,2.0,1.5275252316519472,1.5,True
2018-11-17 08:00:00,17.0,32.0,4.0,2.0,1.632993161855452,1.0,True
2018-11-17 09:00:00,17.0,28.0,6.0,0.0,0.9831920802501752,0.0,True
2018-11-17 10:00:00,15.0,27.5,4.0,1.0,0.9574271077563381,1.25,True
2018-11-17 11:00:00,13.0,29.0,3.0,1.0,0.5773502691896255,0.5,True
2018-11-17 12:00:00,16.0,32.0,6.0,2.0,0.7527726527090812,0.75,True
2018-11-17 13:00:00,15.0,32.0,4.0,2.0,0.0,0.0,True
2018-11-17 14:00:00,21.0,31.0,5.0,0.0,1.643167672515498,1.0,True
2018-11-17 15:00:00,16.0,30.0,4.0,2.0,2.362907813126304,2.75,True
2018-11-17 16:00:00,28.0,31.0,3.0,1.0,2.081665999466133,2.0,True
2018-11-17 17:00:00,20.0,29.0,3.0,0.0,4.358898943540674,4.0,True
2018-11-17 18:00:00,30.0,33.0,5.0,0.0,3.0495901363953815,4.0,True
2018-11-17 19:00:00,20.0,40.0,6.0,0.0,1.211060141638996,0.75,True
2018-11-17 20:00:00,25.0,52.0,5.0,0.0,3.0331501776206196,6.0,True
2018-11-17 21:00:00,30.0,50.5,6.0,0.0,0.9831920802501751,1.75,True
2018-11-17 22:00:00,26.0,52.0,5.0,1.0,0.5477225575051667,1.0,True
2018-11-17 23:00:00,27.0,56.0,5.0,0.0,2.607680962081059,4.0,True
2018-11-18 00:00:00,23.0,47.0,5.0,0.0,1.7888543819998322,3.0,True
2018-11-18 01:00:00,22.0,44.0,5.0,0.0,0.0,0.0,True
2018-11-18 02:00:00,13.0,39.5,6.0,0.0,1.366260102127947,1.0,True
2018-11-18 03:00:00,15.0,44.0,5.0,1.0,0.44721359549995865,0.0,True
2018-11-18 04:00:00,18.0,43.0,5.0,1.0,0.8944271909999161,1.0,True
2018-11-18 05:00:00,18.0,42.0,5.0,1.0,0.44721359549995765,0.0,True
2018-11-18 06:00:00,15.0,44.0,5.0,0.0,1.303840481040529,2.0,True
2018-11-18 07:00:00,24.0,40.5,4.0,1.0,0.9574271077563381,1.25,True
2018-11-18 08:00:00,19.0,40.0,5.0,0.0,0.8366600265340762,1.0,True
2018-11-18 09:00:00,18.0,39.0,3.0,1.0,2.0,2.0,True
2018-11-18 10:00:00,15.0,46.0,4.0,2.0,1.258305739211791,0.75,True
2018-11-18 11:00:00,26.0,45.5,6.0,0.0,2.3380903889000235,1.75,True
2018-11-18 12:00:00,11.0,43.0,4.0,0.0,0.816496580927726,0.5,True
2018-11-18 13:00:00,20.0,46.5,6.0,0.0,0.8164965809277257,1.0,True
2018-11-18 14:00:00,15.0,45.0,5.0,0.0,1.3038404810405295,1.0,True
2018-11-18 15:00:00,30.0,46.5,6.0,0.0,1.2110601416389963,1.75,True
2018-11-18 16:00:00,23.0,47.0,6.0,0.0,1.4142135623730956,1.5,True
2018-11-18 17:00:00,26.0,48.0,3.0,0.0,2.6457513110645907,2.5,True
2018-11-18 18:00:00,26.0,50.0,5.0,1.0,1.4832396974191322,1.0,True
2018-11-18 19:00:00,30.0,62.0,5.0,1.0,3.209361307176242,4.0,True
2018-11-18 20:00:00,38.0,67.0,5.0,1.0,3.0495901363953806,3.0,True
2018-11-18 21:00:00,36.0,64.0,5.0,1.0,5.224940191045253,9.0,True
2018-11-18 22:00:00,41.0,60.0,3.0,1.0,7.505553499465136,7.5,True
2018-11-18 23:00:00,25.0,53.0,4.0,1.0,1.5,2.25,True
