PM2.5,PM10,CO,NO2,SO2,O3,Time,dt,t_days,hour_of_day,dow,month,is_weekend,sin_hour,cos_hour,sin_month,cos_month,matched,n_points,min_delta_sec,mc_PM2.5_mean,mc_PM2.5_std,mc_PM2.5_iqr,mc_PM10_mean,mc_PM10_std,mc_PM10_iqr,mc_CO_mean,mc_CO_std,mc_CO_iqr,mc_NO2_mean,mc_NO2_std,mc_NO2_iqr,mc_SO2_mean,mc_SO2_std,mc_SO2_iqr,mc_O3_mean,mc_O3_std,mc_O3_iqr,mc_WindSpeed_mean,mc_WindSpeed_std,mc_WindSpeed_iqr,mc_Pressure_mean,mc_Pressure_std,mc_Pressure_iqr,mc_Precipitation_mean,mc_Precipitation_std,mc_Precipitation_iqr,mc_Temperature_mean,mc_Temperature_std,mc_Temperature_iqr,mc_Humidity_mean,mc_Humidity_std,mc_Humidity_iqr,mc_t_days_mean,mc_t_days_std,mc_t_days_iqr,mc_hour_of_day_mean,mc_hour_of_day_std,mc_hour_of_day_iqr,mc_dow_mean,mc_dow_std,mc_dow_iqr,mc_month_mean,mc_month_std,mc_month_iqr,mc_is_weekend_mean,mc_is_weekend_std,mc_is_weekend_iqr,mc_sin_hour_mean,mc_sin_hour_std,mc_sin_hour_iqr,mc_cos_hour_mean,mc_cos_hour_std,mc_cos_hour_iqr,mc_sin_month_mean,mc_sin_month_std,mc_sin_month_iqr,mc_cos_month_mean,mc_cos_month_std,mc_cos_month_iqr
33,71,0.756,9,25,80,2018-11-14 10:00:00,2018-11-14 10:00:00,0.0,10,2,11,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,True,1,120.0,50.0,0.0,0.0,98.0,0.0,0.0,0.8,0.0,0.0,62.0,0.0,0.0,15.0,0.0,0.0,46.0,0.0,0.0,0.5,0.0,0.0,1020.6,0.0,0.0,89.8,0.0,0.0,15.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,0.0,-0.8660254037844387,0.0,0.0,-0.8660254037844386,0.0,0.0,0.5000000000000001,0.0,0.0
32,69,0.736,9,22,86,2018-11-14 11:00:00,2018-11-14 11:00:00,0.041666666666666664,11,2,11,0,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,True,3,120.0,41.666666666666664,0.9428090415820634,1.0,83.66666666666667,2.494438257849294,3.0,0.7333333333333334,0.047140452079103216,0.050000000000000044,52.0,4.242640687119285,4.5,15.333333333333334,0.4714045207910317,0.5,57.666666666666664,1.247219128924647,1.5,1.2,0.5715476066494083,0.6499999999999999,1019.8666666666668,0.12472191289244243,0.15000000000009095,89.8,0.0,0.0,17.0,0.0,0.0,57.333333333333336,0.4714045207910317,0.5,0.03958333333333333,0.0015001714579647805,0.001736111111111105,10.333333333333334,0.4714045207910317,0.5,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.419606348367507,0.11369379246736948,0.12059047744873946,-0.8993255446193151,0.047093510797616464,0.0499502112523148,-0.8660254037844387,1.1102230246251565e-16,0.0,0.5000000000000001,0.0,0.0
33,64,0.804,9,26,88,2018-11-14 12:00:00,2018-11-14 12:00:00,0.08333333333333333,12,2,11,0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,True,3,0.0,45.0,1.4142135623730951,1.5,88.0,2.943920288775949,3.5,0.7666666666666666,0.047140452079103216,0.050000000000000044,41.333333333333336,1.247219128924647,1.5,15.666666666666666,0.4714045207910317,0.5,70.33333333333333,2.8674417556808756,3.5,1.3666666666666665,0.12472191289246473,0.15000000000000013,1018.5,0.0,0.0,89.8,0.0,0.0,18.0,0.0,0.0,52.333333333333336,0.4714045207910317,0.5,0.08263888888888889,0.0015001714579647837,0.0017361111111111188,11.666666666666666,0.4714045207910317,0.5,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.08627301503417374,0.12200846792814629,0.12940952255126045,-0.988641942096356,0.016062719529552176,0.0170370868554659,-0.8660254037844387,1.1102230246251565e-16,0.0,0.5000000000000001,0.0,0.0
35,63,0.75,8,26,88,2018-11-14 13:00:00,2018-11-14 13:00:00,0.125,13,2,11,0,-0.2588190451025208,-0.9659258262890683,-0.8660254037844386,0.5000000000000001,True,4,60.0,42.5,0.5,1.0,86.5,1.6583123951777,2.5,0.75,0.050000000000000044,0.10000000000000009,46.0,0.7071067811865476,0.5,15.25,0.4330127018922193,0.25,64.5,1.6583123951777,2.5,1.1500000000000001,0.2872281323269015,0.4,1017.8499999999999,0.11180339887497678,0.14999999999997726,89.8,0.0,0.0,17.5,0.5,1.0,50.75,0.82915619758885,1.25,0.12430555555555556,0.001770492886664162,0.0031250000000000028,12.5,0.5,1.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.12940952255126034,0.12940952255126045,0.2588190451025209,-0.9829629131445341,0.017037086855465844,0.03407417371093169,-0.8660254037844386,0.0,0.0,0.5000000000000001,0.0,0.0
30,69,0.855,8,34,88,2018-11-14 14:00:00,2018-11-14 14:00:00,0.16666666666666666,14,2,11,0,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,True,3,120.0,46.666666666666664,1.247219128924647,1.5,91.66666666666667,0.4714045207910317,0.5,0.7333333333333334,0.047140452079103216,0.050000000000000044,58.0,0.816496580927726,1.0,15.666666666666666,0.4714045207910317,0.5,61.0,1.4142135623730951,1.5,1.0666666666666667,0.590668171555645,0.6499999999999999,1016.9666666666667,0.04714045207911389,0.049999999999954525,89.8,0.0,0.0,18.333333333333332,0.4714045207910317,0.5,49.333333333333336,0.4714045207910317,0.5,0.16458333333333333,0.0015001714579647772,0.001736111111111105,13.333333333333334,0.4714045207910317,0.5,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.33921269673501375,0.11369379246736948,0.12059047744873946,-0.9326256854541919,0.047093510797616464,0.0499502112523148,-0.8660254037844387,1.1102230246251565e-16,0.0,0.5000000000000001,0.0,0.0
33,76,0.763,8,37,89,2018-11-14 15:00:00,2018-11-14 15:00:00,0.20833333333333334,15,2,11,0,-0.7071067811865471,-0.7071067811865479,-0.8660254037844386,0.5000000000000001,True,3,60.0,52.333333333333336,1.247219128924647,1.5,97.66666666666667,2.357022603955158,2.5,0.7333333333333334,0.047140452079103216,0.050000000000000044,59.333333333333336,1.699673171197595,2.0,14.666666666666666,0.4714045207910317,0.5,63.0,3.7416573867739413,4.5,1.1333333333333333,0.40276819911981904,0.44999999999999996,1017.3666666666667,0.04714045207911389,0.05000000000006821,89.8,0.0,0.0,17.0,0.0,0.0,53.333333333333336,0.4714045207910317,0.5,0.2076388888888889,0.0022680460581325757,0.0027777777777777957,14.666666666666666,0.4714045207910317,0.5,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.638071187457698,0.09763107293781743,0.10355339059327373,-0.7600796553858449,0.07491495713052958,0.07945931129894546,-0.8660254037844387,1.1102230246251565e-16,0.0,0.5000000000000001,0.0,0.0
37,79,0.768,8,47,77,2018-11-14 16:00:00,2018-11-14 16:00:00,0.25,16,2,11,0,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,True,6,0.0,48.166666666666664,2.9107081994288304,3.0,93.66666666666667,3.0912061651652345,2.5,0.75,0.050000000000000044,0.10000000000000009,54.666666666666664,1.4907119849998596,2.5,15.833333333333334,0.6871842709362769,0.75,65.0,1.2909944487358056,1.5,1.0333333333333332,0.53437398472938,0.4500000000000002,1017.4833333333335,0.08975274678559547,0.1750000000000682,89.8,0.0,0.0,17.0,0.0,0.0,55.333333333333336,0.4714045207910317,0.75,0.2489583333333333,0.0022944707872221055,0.0038194444444444586,15.666666666666666,0.4714045207910317,0.75,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.8130525295851414,0.0749149571305298,0.11918896694841852,-0.5690355937288496,0.09763107293781748,0.1553300858899106,-0.8660254037844385,1.1102230246251565e-16,0.0,0.5000000000000001,0.0,0.0
44,82,0.863,8,72,40,2018-11-14 17:00:00,2018-11-14 17:00:00,0.2916666666666667,17,2,11,0,-0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,True,5,60.0,44.8,1.16619037896906,1.0,90.4,2.0591260281974,4.0,0.7399999999999999,0.048989794855663606,0.10000000000000009,84.0,3.286335345030997,1.0,15.4,0.48989794855663565,1.0,84.4,27.76040345528141,43.0,0.48,0.23151673805580456,0.09999999999999998,1017.5799999999999,0.0400000000000091,0.0,89.8,0.0,0.0,16.0,0.0,0.0,58.8,0.4,0.0,0.2898611111111111,0.0019934305686676993,0.0027777777777778234,16.4,0.4898979485566356,1.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.9059855727862904,0.048941012044959306,0.09990042250462983,-0.40352761804100856,0.1181540550352058,0.24118095489747982,-0.8660254037844386,0.0,0.0,0.5000000000000001,0.0,0.0
48,102,0.876,8,56,50,2018-11-14 18:00:00,2018-11-14 18:00:00,0.3333333333333333,18,2,11,0,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,True,5,60.0,48.2,2.039607805437114,1.0,95.4,2.9393876913398134,2.0,0.76,0.048989794855663606,0.10000000000000009,92.2,0.7483314773547882,1.0,16.0,0.6324555320336759,0.0,112.2,0.7483314773547882,1.0,0.78,0.07483314773547886,0.10000000000000009,1018.1600000000001,0.0800000000000182,0.0,89.8,0.0,0.0,15.0,0.0,0.0,63.4,0.4898979485566356,1.0,0.33152777777777775,0.0019934305686676768,0.002777777777777768,17.4,0.4898979485566356,1.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.979555495773441,0.01669286779974788,0.03407417371093169,-0.15529142706151247,0.12679491924311212,0.25881904510252046,-0.8660254037844386,0.0,0.0,0.5000000000000001,0.0,0.0
40,92,0.994,7,81,22,2018-11-14 19:00:00,2018-11-14 19:00:00,0.375,19,2,11,0,-0.9659258262890684,0.2588190451025203,-0.8660254037844386,0.5000000000000001,True,6,0.0,55.333333333333336,3.3499585403736303,5.25,103.83333333333333,3.5316033500695156,0.75,0.7666666666666666,0.04714045207910321,0.07500000000000007,73.0,27.24579478255926,46.25,16.166666666666668,0.3726779962499649,0.0,107.66666666666667,2.285218200133681,2.25,0.30000000000000004,0.19999999999999996,0.15,1018.1666666666666,0.07453559924997603,0.10000000000002274,89.8,0.0,0.0,14.833333333333334,0.3726779962499649,0.0,66.16666666666667,0.3726779962499649,0.0,0.3737268518518519,0.0022472786850633716,0.00347222222222221,18.666666666666668,0.4714045207910317,0.75,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.9772838841927124,0.01606271952955207,0.025555630283198738,0.1725460300683468,0.12200846792814608,0.19411428382689036,-0.8660254037844385,1.1102230246251565e-16,0.0,0.5000000000000001,0.0,0.0
