feature,importance_mean,importance_std
mc_PM10_mean,20.907565318471153,0.6094486135296324
PM2.5,9.184162980574571,0.3290904492975864
mc_Humidity_mean,2.142333538127849,0.09580424889394833
pm25_hum,2.0979142236132606,0.17948038188853455
mc_CO_mean,0.1515961926800921,0.027406899335366563
CO,0.10782257772651467,0.052025192646919974
mc_NO2_mean,0.10542240713961697,0.022428058695053935
mc_O3_mean,0.08426692904932692,0.035562122292351186
PM10,0.06486654635884884,0.07684454935516477
mc_Pressure_mean,0.042604879533011356,0.028015357744420304
mc_SO2_mean,0.03632665943636461,0.013337580272844415
sin_hour,0.03353192157720732,0.013760343210274778
mc_Temperature_mean,0.025728349995070215,0.022828928149993946
mc_WindSpeed_mean,0.02323931319997449,0.012001015519567825
mc_WindSpeed_std,0.019491579264515533,0.0073981411615960035
mc_PM10_std,0.018173723019670938,0.016477291457436052
O3,0.013418991927273485,0.016725158346166016
mc_WindSpeed_iqr,0.010936737035551883,0.01153673432781493
SO2,0.007706876555103346,0.005146487123044596
mc_NO2_iqr,0.0068105709584743756,0.005180949140730479
mc_Humidity_std,0.006578753536130293,0.006699877054198431
mc_PM10_iqr,0.005529842149988191,0.005283709627110562
min_delta_sec,0.0017425222173470978,0.0013609296539013153
mc_SO2_iqr,0.0014819047274158591,0.0005224707175295174
mc_Temperature_iqr,0.00021192571076277032,0.0002510442302508776
cos_month,0.0,0.0
sin_month,0.0,0.0
log_st_pm25,0.0,0.0
t_days,0.0,0.0
mc_Precipitation_iqr,0.0,0.0
mc_CO_std,-0.0003555534834160134,0.005922096123638503
mc_Temperature_std,-0.0003696154645920302,0.0004910601961635955
mc_Precipitation_std,-0.0009085192238676676,0.0006675040301832847
mc_SO2_std,-0.0010531934217331519,0.002796158910335093
mc_O3_iqr,-0.0011010222591151474,0.005243490029923937
mc_Pressure_std,-0.0013218070157751073,0.008915608617404308
mc_CO_iqr,-0.0013299387444232202,0.003190064923077279
mc_Humidity_iqr,-0.0019119322670189832,0.003866227965434102
n_points,-0.005081801127954133,0.0027637510088939204
mc_Precipitation_mean,-0.006208772374270897,0.0032449145156331996
is_weekend,-0.008099124779196441,0.00712124949130113
mc_NO2_std,-0.008672728336585429,0.013545747043592559
mc_Pressure_iqr,-0.011561693916126785,0.00825985224936247
NO2,-0.014974357828683277,0.014711018733705483
cos_hour,-0.019521603557878374,0.019509854638134285
mc_O3_std,-0.0328265789496122,0.0396870953401607
