feature,importance_mean,importance_std
CO,0.38980493966419405,0.008930367102869282
mc_NO2_mean,0.008767373512887495,0.00104995503299492
co_hum,0.0055736072418664006,0.0012183159841342881
mc_Temperature_mean,0.004869666962128569,0.0014191228352414312
mc_SO2_mean,0.004728779568846031,0.0008011358863615802
sin_hour,0.0025170818400443765,0.000723132426629281
mc_WindSpeed_mean,0.0012767789663706759,0.00044422006447042184
mc_PM2.5_std,0.0007271015042137376,0.00024967038568774505
mc_PM2.5_mean,0.0006847209898373271,0.0001786586018444048
mc_PM10_mean,0.0006793656334155643,0.00017163070873051864
mc_NO2_std,0.000562746177446953,0.0001552272428978441
mc_PM2.5_iqr,0.0004627148350504491,0.00012144060955540675
PM10,0.0003708445938186679,0.00012875309201767148
mc_PM10_std,0.0001500333273108341,0.00033740519843950223
cos_hour,0.0001335292982445918,6.151833614959856e-05
mc_WindSpeed_std,0.00010470574404391892,0.00010438935131172795
mc_SO2_std,9.414851061945936e-05,6.528791931953636e-05
NO2,9.359941224010362e-05,0.00020971591298092293
mc_Precipitation_std,4.082009225471403e-05,2.6031147659793967e-05
mc_Precipitation_iqr,2.149234298596675e-05,5.89541688732428e-06
mc_Pressure_std,1.654766486405418e-05,0.00022910806557519786
mc_SO2_iqr,6.095954199109022e-06,2.9631509220455297e-05
mc_Humidity_iqr,4.250151576611072e-06,5.24421103466347e-06
mc_Precipitation_mean,2.9318340691759925e-06,2.6192657326382493e-06
mc_Pressure_mean,2.465820490066273e-06,0.0001977416235991614
sin_month,0.0,0.0
t_days,0.0,0.0
log_st_pm25,0.0,0.0
cos_month,0.0,0.0
mc_Temperature_iqr,-6.522410739173701e-06,6.283190105882054e-05
PM2.5,-1.5159137324722433e-05,0.00013959557779774293
n_points,-1.563621988694072e-05,3.639898394923852e-05
min_delta_sec,-1.843955092450458e-05,2.999477570782526e-05
mc_Pressure_iqr,-2.081569626775498e-05,6.363882681820706e-05
mc_WindSpeed_iqr,-2.1174993810307158e-05,4.9962688099200734e-05
mc_Temperature_std,-2.8068335892184048e-05,4.1243639491400126e-05
mc_Humidity_std,-5.6834777862656975e-05,0.00015557752725293798
is_weekend,-7.72771504307615e-05,5.449586092042596e-05
mc_O3_std,-0.00010300290882561195,0.00011365260778431536
mc_O3_iqr,-0.00011834810738858975,5.6998294504234556e-05
O3,-0.00011859738465013134,0.0005779005913594218
mc_NO2_iqr,-0.00017559857030994484,5.579920880120769e-05
mc_PM10_iqr,-0.0001771637603018697,0.000157147909039142
pm25_hum,-0.00027808872085828134,0.00010168199632322552
SO2,-0.0003843150861794778,0.0007817101394969128
mc_Humidity_mean,-0.0007221380034476546,0.00037815112131721356
mc_O3_mean,-0.0007949149141931705,0.00040846411010738413
