feature,importance_mean,importance_std
mc_Humidity_mean,2.593604550298715,0.18830334513004113
NO2,2.057685522867414,0.4630916298589306
mc_CO_mean,1.064389371874225,0.09455397399911139
O3,1.011047721391721,0.12462421111471152
mc_SO2_mean,1.0016070008720925,0.065043515202304
PM10,0.6270215710618461,0.0952147216493547
mc_O3_mean,0.2948227984232467,0.13479453473181963
mc_Temperature_mean,0.2318265538259686,0.030434451859715474
cos_hour,0.17790947251946002,0.03224502952660609
mc_WindSpeed_mean,0.14327493529421692,0.04923797894757869
mc_PM10_mean,0.13252402762766397,0.03211627058703489
pm25_hum,0.08176996081538643,0.061437763838098264
mc_PM10_std,0.0696270257506825,0.038338347371701074
mc_Humidity_iqr,0.038270233558234244,0.01554548210038662
mc_Humidity_std,0.029403519586363204,0.031203316805901594
mc_Precipitation_iqr,0.02484269394513152,0.010241622781114852
mc_Pressure_iqr,0.02471304598275541,0.051599530279222705
mc_CO_std,0.020815980757626383,0.013765812527755371
mc_Temperature_std,0.009018102521098647,0.020776008447973702
min_delta_sec,0.0088921291248921,0.009039397262121374
mc_CO_iqr,0.007163652932415943,0.00344641689627491
n_points,0.00205286620677807,0.004067925301093153
mc_PM10_iqr,0.0016865730334815864,0.013642481077766591
is_weekend,0.0008485064120661079,0.0004950733709793187
mc_Temperature_iqr,0.0,0.0
log_st_pm25,0.0,0.0
cos_month,0.0,0.0
sin_month,0.0,0.0
t_days,0.0,0.0
mc_Precipitation_mean,-0.0005552025474266032,0.0015656695839997052
mc_O3_iqr,-0.0006729992673736973,0.019579420510194012
SO2,-0.0017244723061882183,0.007509699545370517
mc_O3_std,-0.0060572841064647776,0.04236007269754423
mc_WindSpeed_iqr,-0.008005786648304892,0.011342868733535696
mc_Pressure_mean,-0.009126722638258932,0.040581994982953916
mc_Pressure_std,-0.015456010791483088,0.03365167762945006
mc_Precipitation_std,-0.016676527361782868,0.012613638346421862
mc_PM2.5_mean,-0.01731977524692745,0.04962644108806447
mc_SO2_iqr,-0.018711804164850854,0.021344649482119397
mc_PM2.5_iqr,-0.024096567254964542,0.01720614060193687
mc_SO2_std,-0.02523506840330878,0.018383160892014378
mc_PM2.5_std,-0.08624920436368662,0.040576795057235174
sin_hour,-0.09205847086171914,0.16211052601520567
mc_WindSpeed_std,-0.13798298166440565,0.025524492582274436
PM2.5,-0.23664831372277514,0.09567985475021194
CO,-0.27688534297289796,0.06055050590013734
no2_hum,-1.2478894716073383,0.16969599554268283
