feature,importance_mean,importance_std
O3,9.42610722676722,0.5032041899149121
o3_hum,3.078997374635617,0.2584434640223409
sin_hour,2.390030018454587,0.20719229648983817
NO2,1.7541163555775126,0.25770529822277616
mc_NO2_mean,0.6648976988581383,0.22100110987205018
mc_Humidity_mean,0.5878762257720856,0.0732039717120173
mc_Temperature_mean,0.5864172907592429,0.09811687748789878
mc_Pressure_mean,0.29106683386574533,0.10306735016007856
mc_WindSpeed_mean,0.26518427564964747,0.05538339733545435
SO2,0.09494015100338844,0.019942309333173064
cos_hour,0.08934745559077725,0.026296647584626208
PM2.5,0.07442136202555591,0.04037030802318422
mc_NO2_std,0.04950532116797435,0.018460687490040976
mc_WindSpeed_iqr,0.03707180881154395,0.025389183737755415
mc_PM10_mean,0.03326825214292608,0.029337631577646434
mc_PM10_iqr,0.03313811626804819,0.014125537026684334
PM10,0.022363462966186187,0.05521948782673159
mc_Pressure_iqr,0.0201815783417314,0.014974656703463516
mc_Humidity_std,0.018922939147277607,0.01737851634111299
is_weekend,0.014748625228886337,0.0037931386164837444
mc_NO2_iqr,0.013394403532471077,0.03754201049851283
mc_Humidity_iqr,0.012817187453913359,0.013895159204272606
CO,0.006093429386831506,0.027850776145559985
mc_SO2_std,0.00212132339011184,0.02303389754111786
t_days,0.0,0.0
mc_Temperature_iqr,0.0,0.0
sin_month,0.0,0.0
cos_month,0.0,0.0
log_st_pm25,0.0,0.0
mc_Precipitation_std,-0.0008255150963156765,0.0067752323139058015
mc_PM10_std,-0.003263686313013725,0.019743402885570256
mc_Precipitation_iqr,-0.00430569793854616,0.002085621649145677
mc_Precipitation_mean,-0.006365477878629289,0.0022896770440188033
mc_CO_iqr,-0.010512123338668734,0.00658726473181808
mc_PM2.5_iqr,-0.011109803168254561,0.016675960248298868
mc_SO2_iqr,-0.01158436678820971,0.006126288218509739
n_points,-0.014902966762351255,0.00655118961156703
mc_SO2_mean,-0.018616003220414255,0.0437916276153787
mc_Pressure_std,-0.020284366278320844,0.031571205393173284
mc_CO_mean,-0.03833895589589886,0.04126568739785477
mc_CO_std,-0.04319617483921077,0.01120315245508098
min_delta_sec,-0.04832074583659755,0.01519633913937825
mc_WindSpeed_std,-0.05519611215631599,0.04237608667501929
mc_Temperature_std,-0.08829241609107549,0.0608045647835179
pm25_hum,-0.1117348853935125,0.028047837888924863
mc_PM2.5_std,-0.11654490050983587,0.05109909924553416
mc_PM2.5_mean,-0.13698877897054543,0.033738766671167084
