feature,importance_mean,importance_std
mc_PM10_mean,21.20258996115609,0.6579596360339038
PM2.5,9.30131628822739,0.2713070786101141
pm25_hum,2.084526877371451,0.13400216980739865
mc_Humidity_mean,2.046519016307351,0.08248740047095975
mc_CO_mean,0.16432887847661956,0.03240132957867181
CO,0.11960700148014954,0.05104046022226499
PM10,0.09555877108266579,0.07889707029435425
mc_O3_mean,0.08073606830221199,0.036207592964506825
mc_NO2_mean,0.06711936602347394,0.02033545861160929
mc_Pressure_mean,0.05114016509533279,0.02186016744085597
mc_SO2_mean,0.04714090749721125,0.015279788454480697
mc_WindSpeed_mean,0.03462025618448554,0.012139314104698814
mc_Temperature_mean,0.0240239769924667,0.01780237379030271
mc_PM10_std,0.023534980887696212,0.013823438079566161
sin_hour,0.02009117535414049,0.013359795616219642
mc_WindSpeed_std,0.01562453191910631,0.008243498234266101
mc_WindSpeed_iqr,0.012398780794955933,0.008516717332956366
mc_Humidity_std,0.011429723015131722,0.00829371681554654
SO2,0.006754606334559732,0.00677339393324334
mc_NO2_iqr,0.006576099096772037,0.006119914852630226
mc_PM10_iqr,0.00628647200294914,0.00553520703901778
O3,0.005780709610348244,0.01491913799615036
mc_O3_iqr,0.0039021437243016875,0.009675976468862958
mc_CO_std,0.003764924271752923,0.007191880882458887
min_delta_sec,0.0009456370818846427,0.0010372304206839537
mc_SO2_iqr,0.0005122676826824435,0.000602384969126953
mc_Precipitation_iqr,0.0002047147983556652,0.0005662711498379418
mc_Temperature_std,0.00020409724460788148,0.00013191260746491174
mc_Temperature_iqr,0.0,0.0
cos_month,0.0,0.0
sin_month,0.0,0.0
t_days,0.0,0.0
log_st_pm25,0.0,0.0
mc_SO2_std,-0.00035811615142424815,0.0020337138224877566
mc_Precipitation_std,-0.0009738085581453504,0.0016183475373150067
mc_NO2_std,-0.0012418301472931325,0.0164466470199926
mc_Humidity_iqr,-0.0019655148951090774,0.0027196280243357678
mc_CO_iqr,-0.002979220938775251,0.0013894468484379606
mc_Pressure_std,-0.003066971198529522,0.007401743784304782
mc_Precipitation_mean,-0.004215373524998211,0.002118879127881827
n_points,-0.004616993177595896,0.0019167543429760604
mc_Pressure_iqr,-0.004969834231617565,0.009519030296322117
is_weekend,-0.0062020489460067555,0.004798513107448948
NO2,-0.00824145977556987,0.013276994711971635
cos_hour,-0.02103012427140314,0.018648285872927124
mc_O3_std,-0.03448196058148523,0.033058990678679186
