feature,importance_mean,importance_std
SO2,4.389325053397505,0.11058460390824258
mc_Humidity_mean,0.24351580974291673,0.023987036490519264
mc_CO_mean,0.15063636434159333,0.04163901826552637
mc_O3_mean,0.06485622782724221,0.014260148021816688
mc_PM2.5_mean,0.0335981762717964,0.004876970833096785
mc_NO2_mean,0.030434952105534575,0.003778395852908402
NO2,0.02630217414141538,0.005282306548204682
pm25_hum,0.021447161733649446,0.004643182390282542
CO,0.01566829499248008,0.013419323794544618
n_points,0.01465583526745302,0.005921508654519842
so2_hum,0.010693636458234313,0.0022187929395263936
O3,0.009409111891550337,0.004895163369532706
mc_WindSpeed_std,0.00894197996462418,0.002219580986795978
is_weekend,0.007955491230567113,0.00461074478968617
cos_hour,0.007931193849573836,0.003844507605845155
mc_CO_std,0.006617931450320391,0.003112192303738461
sin_hour,0.0064963093131272355,0.0022752969103416163
PM2.5,0.0054239213943487515,0.0050911316723055485
mc_NO2_iqr,0.004701724903202753,0.001990949260974016
mc_Humidity_std,0.004596278287675659,0.0032174074912460515
mc_Temperature_mean,0.004241876253392585,0.01513969689086776
mc_PM10_std,0.003945738385456976,0.002459731753862092
mc_Pressure_std,0.0028340854337441713,0.003709046783174346
min_delta_sec,0.0021598495958913945,0.002017538167490515
mc_WindSpeed_iqr,0.0014304863299921867,0.0012456236214600542
mc_PM10_mean,0.0013897775293179703,0.0010697336447997793
mc_PM2.5_iqr,0.00136246457717486,0.0008409000378717849
mc_Humidity_iqr,0.0010366754145270328,0.0008769682012364532
mc_O3_iqr,0.0003049339796903805,0.0008779909170802848
mc_Precipitation_std,0.00024039506029085444,0.00041869176383525135
mc_Pressure_iqr,0.00014000888744800655,0.0006581883204492243
sin_month,0.0,0.0
cos_month,0.0,0.0
log_st_pm25,0.0,0.0
t_days,0.0,0.0
mc_Precipitation_iqr,0.0,0.0
mc_Temperature_iqr,0.0,0.0
mc_PM10_iqr,-0.0003023132260368211,0.004601642488265007
mc_Temperature_std,-0.0007251318619678094,0.0013244507593580296
mc_Pressure_mean,-0.0009011099475971784,0.0047526882999217
PM10,-0.001019383665048146,0.005033484152219087
mc_O3_std,-0.0016207065505673634,0.002791713338640941
mc_CO_iqr,-0.001669739502207368,0.0010892967760541517
mc_PM2.5_std,-0.0034585958068519052,0.002758270948537954
mc_Precipitation_mean,-0.004275199283100983,0.0006764703600091191
mc_NO2_std,-0.006775802097674389,0.003936582625227726
mc_WindSpeed_mean,-0.023674136183994787,0.006640481926605227
