feature,importance_mean,importance_std
mc_PM2.5_mean,0.02205049463797393,0.002158173880303152
mc_CO_mean,0.012688342701917057,0.0012634948510391027
mc_PM10_mean,0.011418962511808762,0.0016362975214528285
mc_CO_mean_x_hum,0.009490880167309349,0.0007505018641476761
mc_SO2_mean,0.009196675571275662,0.0008316251820614428
mc_Pressure_mean,0.0076206818154104985,0.0007476432582605937
mc_WindSpeed_mean,0.003271389966270488,0.0003833707676553011
mc_Humidity_mean,0.002641637691642118,0.00047704232482818193
mc_WindSpeed_std,0.0012426096195324171,0.0002655320233400104
mc_NO2_iqr,0.0011411688414967452,0.00017886808469588499
mc_PM10_std,0.0011061972122572705,0.000281322696712093
mc_NO2_std,0.0010879905668527423,0.0002154877230479531
mc_PM10_iqr,0.0007401137824036202,0.0001952771047444179
mc_O3_std,0.0005987096221294231,0.00015671003186195717
mc_PM2.5_std,0.0005409150146716251,0.00022112427387954798
mc_WindSpeed_iqr,0.0004959470226730933,0.00020694377206872266
mc_Humidity_std,0.00048028372338999317,0.00013288286308275367
hour_of_day,0.0003549033800131024,0.00024498418791682247
mc_CO_std,0.0002939496812566944,0.00026051801723145856
n_points,0.00026187438519316154,0.00022667625829727328
mc_Pressure_std,0.0002529465649198953,0.00015271804679941288
sin_hour,0.00024671929809756135,0.0001894983908449221
mc_Humidity_iqr,0.00010718781619425688,7.069567665421284e-05
mc_SO2_std,9.287257281518912e-05,8.301210690839358e-05
mc_PM2.5_iqr,7.110885119527565e-05,0.00015429634672332253
mc_CO_iqr,6.92481597522998e-05,5.08205038761007e-05
min_delta_sec,3.893396562763829e-05,3.761837508252552e-05
mc_Pressure_iqr,3.8861188780484056e-05,6.236322093220584e-05
cos_month,-4.4408920985006264e-17,2.2204460492503132e-17
sin_month,-4.718447854656915e-17,1.9821445675202303e-17
t_days,-4.9960036108132046e-17,1.665334536937735e-17
mc_Precipitation_iqr,-3.9869923369267864e-06,1.2342838830199831e-05
mc_Precipitation_std,-7.791875670451476e-06,9.563175873619694e-06
mc_SO2_iqr,-1.9925017175226322e-05,8.483404702348176e-05
mc_Temperature_iqr,-2.7357610511777318e-05,5.021405633849898e-05
mc_O3_iqr,-8.524942809930714e-05,0.00011013235282680324
mc_Precipitation_mean,-0.00010613913631813132,6.444327445786616e-05
is_weekend,-0.00013148888248103174,0.00019460616536885186
mc_Temperature_std,-0.00019531102170849968,6.588842765981791e-05
mc_Temperature_mean,-0.00023837109735286576,0.00040637089303797265
cos_hour,-0.0003826908045483801,0.0001804751337150651
mc_NO2_mean,-0.002541978106184448,0.00041522145200820394
mc_O3_mean,-0.0027377561195661344,0.0006528121529993834
