feature,importance_mean,importance_std
mc_NO2_mean,1.5115834756956459,0.10123987392927442
mc_WindSpeed_mean,0.7165803185732024,0.044423456039157636
mc_NO2_mean_x_hum,0.6827479635430749,0.05112996300688085
mc_WindSpeed_std,0.6306136041982227,0.05613502120918085
n_points,0.3088655426450913,0.05500183376141808
mc_NO2_std,0.2507196940234738,0.05069861780194697
mc_WindSpeed_iqr,0.20867988250253688,0.022891157888944202
hour_of_day,0.19843428798887874,0.02536727988170961
sin_hour,0.18892883130277519,0.026255288799090958
mc_NO2_iqr,0.18760805301035716,0.036380141642700786
mc_PM2.5_mean,0.17914232929710253,0.05867280679881909
mc_SO2_mean,0.17180495587564124,0.031349744844770176
mc_CO_mean,0.10931437545820621,0.023016398656873473
mc_O3_std,0.061541148516835696,0.013739591999909796
mc_PM2.5_std,0.06096735508609861,0.02244355194558997
mc_O3_iqr,0.051370688360852235,0.007497487111159457
cos_hour,0.0497527092268065,0.011956611160226503
mc_Temperature_mean,0.03923924420680791,0.00872017319426301
mc_PM10_std,0.012170043720117896,0.009705545106146324
mc_Precipitation_mean,0.007955726631788274,0.0036316024964737053
mc_Humidity_iqr,0.006695675496198738,0.0036296751059566967
mc_CO_std,0.006491497074809694,0.005635912240622372
mc_SO2_iqr,0.005465956987291243,0.004855447017756395
mc_Humidity_std,0.005451972511138337,0.0081333244764597
mc_Precipitation_std,0.0006168870608330934,0.0007838128739522626
mc_Temperature_iqr,0.0005767055316365343,0.00081463859135305
mc_Precipitation_iqr,0.00033992941515901263,0.0004601637741807269
mc_Temperature_std,0.0001680840734206157,0.0020155224138303997
sin_month,5.329070518200751e-16,1.6945364248090045e-15
t_days,5.329070518200751e-16,2.3228879851839006e-15
cos_month,-5.329070518200751e-16,2.033133331426668e-15
mc_SO2_std,-0.00018716000208272022,0.010957691016053967
mc_CO_iqr,-0.0010439468936946027,0.0025679027850350057
mc_PM2.5_iqr,-0.0011334604205877953,0.014635693660442426
min_delta_sec,-0.0014465828515797697,0.0021551991981581
is_weekend,-0.0027528223097128546,0.0031291283921537124
mc_Pressure_iqr,-0.00390935465091804,0.003973425589494283
mc_Humidity_mean,-0.004683454995267944,0.02346107828695973
mc_PM10_iqr,-0.0054512794744830725,0.009663422771353916
mc_Pressure_mean,-0.009413425544956411,0.010660341743163299
mc_Pressure_std,-0.012988660014737086,0.007520690023329964
mc_PM10_mean,-0.017666856053907765,0.035859749225016245
mc_O3_mean,-0.024689988826873056,0.016629906618363274
