feature,importance_mean,importance_std
mc_NO2_mean,1.9116391322336916,0.17633803266253587
mc_WindSpeed_mean,0.6195402148434888,0.043489856220474
mc_Temperature_mean,0.398128037737564,0.05076794075751626
mc_Humidity_mean,0.38851593145729596,0.04004483097243129
mc_SO2_mean,0.29387133784804575,0.05779399590110263
mc_NO2_std,0.22009354926861135,0.04619189855882734
mc_WindSpeed_std,0.1873652410164027,0.02075556590898364
mc_NO2_mean_x_sin_hour,0.18530289204018474,0.02594746167017812
cos_hour,0.16395328885700025,0.015967142203096613
mc_Pressure_mean,0.15375839565352506,0.015409822335036887
mc_WindSpeed_iqr,0.09477409101322606,0.014967572318807229
mc_NO2_iqr,0.07437173800813568,0.026109453883527277
mc_CO_mean,0.03659925189843207,0.021841597797791615
mc_O3_std,0.026666576727087943,0.008744646152520942
mc_Humidity_std,0.02413716596549236,0.006352534541674594
mc_O3_iqr,0.023517948555526403,0.009367394095426569
mc_PM2.5_std,0.015506792813052783,0.006419647686722652
mc_Pressure_std,0.006071875400963478,0.005281359113934052
mc_CO_std,0.005139861565527326,0.0028887164798976394
mc_Pressure_iqr,0.0033822747428303044,0.0035071049044006763
mc_Precipitation_mean,0.0017294294035593793,0.006475317526351865
mc_Temperature_iqr,0.0010728896202344628,0.001855637125139162
mc_CO_iqr,0.0005884377670248853,0.0005645125588241623
mc_Precipitation_iqr,0.00047450162198217074,0.0003648110343605267
mc_SO2_iqr,0.0004705613710818568,0.003981920061539516
mc_Precipitation_std,0.0004105511168397413,0.00027681732751427867
t_days,6.394884621840902e-15,7.069810956086684e-15
cos_month,2.842170943040401e-15,5.684341886080802e-15
sin_month,2.842170943040401e-15,5.6843418860808026e-15
mc_PM2.5_iqr,-0.003533880661219513,0.0039310555011473625
mc_Temperature_std,-0.0037470653517168275,0.0033359033388932293
mc_Humidity_iqr,-0.004718612956077806,0.003659034859573686
mc_PM10_std,-0.00820497357655725,0.007165124365456619
mc_SO2_std,-0.009992212878120198,0.006796193662747978
min_delta_sec,-0.01066591704053792,0.0027587493661580904
is_weekend,-0.011656381371347635,0.008745472490653026
n_points,-0.014828353967800467,0.006297037974800332
mc_PM2.5_mean,-0.019495699803768217,0.020894543548381987
mc_PM10_iqr,-0.02028556132613559,0.00529440160983649
sin_hour,-0.024241601138934497,0.00995660442082412
mc_PM10_mean,-0.0340811693563289,0.01986778732796334
hour_of_day,-0.04933748380323166,0.014681044276275243
mc_O3_mean_x_hum,-0.8338034050325724,0.06450027612570204
mc_O3_mean,-1.1719765459458613,0.11050895915983823
