feature,importance_mean,importance_std
mc_PM2.5_mean,5.315795102653515,0.43718242137705843
mc_PM10_mean,2.5266585243418143,0.33454322699865324
mc_Humidity_mean,2.184467111329652,0.260030579081122
mc_CO_mean,0.36304600769733675,0.07083522273314481
mc_NO2_mean,0.276418077671077,0.05224764479877636
mc_SO2_mean,0.2507343905907719,0.042306400757722615
mc_WindSpeed_mean,0.19497986176829513,0.021304455369332058
mc_PM10_mean_x_hum,0.1674569215907873,0.07993647380208074
n_points,0.14808475097519622,0.027644583134129555
mc_O3_mean,0.1428714306821135,0.07803803745041538
hour_of_day,0.09685123361307255,0.03877008578384301
mc_NO2_iqr,0.07657613905711927,0.02529494116768464
mc_WindSpeed_iqr,0.07365867248540567,0.012249001424508884
mc_O3_std,0.06794309368451827,0.01359201680221666
mc_NO2_std,0.06581433739778948,0.037793415675174344
mc_Humidity_std,0.055648238540821106,0.035807805305434766
mc_O3_iqr,0.05199938545715579,0.010480283491048212
mc_WindSpeed_std,0.043016273950743054,0.01506371827043619
is_weekend,0.027568715517483612,0.014192486040161482
sin_hour,0.023863128276881796,0.027301040192541016
mc_Precipitation_std,0.02224314428812644,0.005753379755179562
mc_Precipitation_iqr,0.020782717242626703,0.006217279312694151
mc_Pressure_std,0.01862395464972675,0.007940400353948081
mc_Humidity_iqr,0.01707949994418758,0.015432071525346343
mc_PM2.5_iqr,0.0060571276215371835,0.015274987122236554
min_delta_sec,0.006016607040923105,0.0034616382157610518
mc_SO2_iqr,0.004096009256394595,0.008706599562213287
mc_SO2_std,0.003718679403248082,0.006421235407927216
mc_CO_std,0.0026555020571631615,0.006338662727554334
mc_Pressure_iqr,0.002105818404095139,0.004668235626266209
mc_CO_iqr,0.0005655498270835224,0.0028751924471847427
cos_month,-2.3092638912203257e-15,1.6945364248090043e-15
sin_month,-2.4868995751603505e-15,1.6280579355608322e-15
t_days,-2.6645352591003757e-15,1.538370149106851e-15
mc_Precipitation_mean,-0.0001247875291157996,0.005674499141896144
mc_Pressure_mean,-0.008426035384736252,0.025157001552703267
mc_Temperature_iqr,-0.008899112905415585,0.003949390255497492
mc_Temperature_std,-0.012191628381776098,0.009240116475072049
mc_Temperature_mean,-0.024764948700588894,0.020456066311440448
mc_PM10_std,-0.04119274059704488,0.06297392972448118
cos_hour,-0.048192503776112616,0.03307847193228351
mc_PM10_iqr,-0.052151377839192214,0.03034795042270136
mc_PM2.5_std,-0.12390836741781239,0.0661470698080548
