feature,importance_mean,importance_std
mc_NO2_mean,0.17739027363358134,0.027898275164354856
mc_O3_mean,0.15303407329821567,0.048825792616550505
mc_Humidity_mean,0.10533912006466713,0.009755639575803327
mc_SO2_mean_x_hum,0.05163415377325235,0.006324562711837084
n_points,0.04771561901384995,0.010699783791824154
mc_WindSpeed_std,0.017875190618483437,0.007393437661776571
mc_PM10_std,0.009661566859473147,0.005188203023208169
mc_PM10_iqr,0.00788600076762509,0.0024978532667630326
mc_Pressure_std,0.007633519746476703,0.0045010349391340744
mc_PM2.5_std,0.006656046800257132,0.004394763882323283
cos_hour,0.005982101100173676,0.005133333394721079
mc_PM2.5_iqr,0.005298858220638492,0.002368308826826942
mc_Precipitation_mean,0.002619642445120185,0.0012502106387719135
mc_Humidity_std,0.0017671052957931367,0.002994283850171417
mc_Pressure_iqr,0.001537186779023747,0.0017864286593431292
mc_Temperature_mean,0.0010704126643947375,0.0301978427784344
mc_Precipitation_std,0.0008686352432923705,0.0001919207493231227
mc_SO2_iqr,0.0006379898387795623,0.001007068499952824
is_weekend,0.0006142230984904629,0.0015918793342895687
sin_month,0.0,0.0
t_days,0.0,0.0
cos_month,0.0,0.0
min_delta_sec,-0.0002002800049653697,0.0011681957241288991
mc_Temperature_iqr,-0.00025357541465926837,0.0005568442812811265
mc_Precipitation_iqr,-0.0003375183875200971,0.00019234140533156232
mc_Temperature_std,-0.00034414248483920494,0.0009137014744252002
mc_CO_iqr,-0.0007599912426385913,0.0009472171165195472
mc_SO2_std,-0.001503381710664664,0.0011708624068367222
mc_WindSpeed_iqr,-0.0018717086860768894,0.004006414990932873
mc_Humidity_iqr,-0.002005861235173967,0.0015159913188054425
mc_O3_iqr,-0.007024665378772532,0.0034395089043013105
mc_SO2_mean,-0.007080749644905992,0.012392397924189617
mc_CO_std,-0.010454113786117025,0.0014585335437656804
mc_PM10_mean,-0.023605447957618562,0.014053381827067458
sin_hour,-0.030929935702450527,0.009540237949941566
mc_WindSpeed_mean,-0.03246623758917204,0.01722770490008389
mc_PM2.5_mean,-0.03471372498947152,0.017154125047607764
mc_CO_mean,-0.04517529023272702,0.02728293333483954
mc_O3_std,-0.05818146908051709,0.006516930297721206
hour_of_day,-0.06156974783701119,0.01245775595520096
mc_Pressure_mean,-0.09510870849907796,0.01000184981517038
mc_NO2_std,-0.11718884634175217,0.02571610531541709
mc_NO2_iqr,-0.1275410874619843,0.018582845192875983
